Age,Gender,Interest,Course
16,Male,politics,Political Science
19,Male,law enforcement,Criminology
21,Female,tech,BSIT
19,Female,social issues,Social Work
29,Male,coding,BSIT
18,Male,community service,Social Work
21,Female,accounting,Accountancy
22,Male,politics,Political Science
24,Female,coding,BSIT
20,Male,conflict resolution,Human Resource Management
30,Female,public speaking,Human Resource Management
16,Male,law enforcement,Criminology
26,Male,child education,Education
22,Female,forensics,Criminology
18,Female,psychology,Social Work
19,Male,accounting,Accountancy
28,Male,history,Political Science
24,Female,finance,Financial Management
24,Female,recruitment,Human Resource Management
18,Male,social issues,Social Work
20,Female,finance,Financial Management
19,Female,politics,Political Science
23,Male,philosophy,Political Science
29,Male,recruitment,Human Resource Management
27,Male,volunteering,Social Work
19,Female,networking,BSIT
18,Female,psychology,Social Work
27,Female,child education,Education
23,Male,public speaking,Human Resource Management
29,Male,networking,BSIT
